predicted_rank,partition_id,predicted_score,merged_boundaries
1,0-1__2-3__4-5__6-7__8__9-10__11__12-13__14-15,-0.071184367425,"[0, 2, 4, 6, 9, 12, 14]"
2,0-1__2-3__4__5-6__7-8__9-10__11__12-13__14-15,-0.06434873911,"[0, 2, 5, 7, 9, 12, 14]"
3,0-1__2-3__4-5__6-7__8__9-10__11-12__13__14-15,-0.063281494434,"[0, 2, 4, 6, 9, 11, 14]"
4,0-1__2-3__4__5-6__7-8__9-10__11-12__13__14-15,-0.056445866119,"[0, 2, 5, 7, 9, 11, 14]"
5,0-1__2-3__4-5__6-7__8-9__10__11__12-13__14-15,-0.048158295177,"[0, 2, 4, 6, 8, 12, 14]"
6,0-1__2-3__4-5__6-7__8__9-10__11-12__13-14__15,-0.040349622548,"[0, 2, 4, 6, 9, 11, 13]"
7,0-1__2-3__4-5__6-7__8-9__10__11-12__13__14-15,-0.040255422186,"[0, 2, 4, 6, 8, 11, 14]"
8,0-1__2__3-4__5-6__7-8__9-10__11__12-13__14-15,-0.039755621569,"[0, 3, 5, 7, 9, 12, 14]"
9,0__1__2-3__4-5__6-7__8-9__10-11__12-13__14-15,-0.03801764013,"[2, 4, 6, 8, 10, 12, 14]"
10,0__1-2__3-4__5-6__7-8__9-10__11__12-13__14-15,-0.037387126597,"[1, 3, 5, 7, 9, 12, 14]"
11,0-1__2-3__4__5__6-7__8-9__10-11__12-13__14-15,-0.037317928048,"[0, 2, 6, 8, 10, 12, 14]"
12,0-1__2-3__4__5-6__7-8__9-10__11-12__13-14__15,-0.033513994232,"[0, 2, 5, 7, 9, 11, 13]"
13,0-1__2__3-4__5-6__7-8__9-10__11-12__13__14-15,-0.031852748578,"[0, 3, 5, 7, 9, 11, 14]"
14,0__1-2__3-4__5-6__7-8__9-10__11-12__13__14-15,-0.029484253606,"[1, 3, 5, 7, 9, 11, 14]"
15,0-1__2-3__4-5__6-7__8-9__10__11-12__13-14__15,-0.0173235503,"[0, 2, 4, 6, 8, 11, 13]"
16,0-1__2-3__4-5__6-7__8-9__10-11__12__13__14-15,-0.013056577534,"[0, 2, 4, 6, 8, 10, 14]"
17,0-1__2__3-4__5__6-7__8-9__10-11__12-13__14-15,-0.012724810507,"[0, 3, 6, 8, 10, 12, 14]"
18,0__1-2__3-4__5__6-7__8-9__10-11__12-13__14-15,-0.010356315535,"[1, 3, 6, 8, 10, 12, 14]"
19,0-1__2__3-4__5-6__7-8__9-10__11-12__13-14__15,-0.008920876692,"[0, 3, 5, 7, 9, 11, 13]"
20,0-1__2-3__4__5-6__7__8-9__10-11__12-13__14-15,-0.007023583132,"[0, 2, 5, 8, 10, 12, 14]"
21,0__1-2__3-4__5-6__7-8__9-10__11-12__13-14__15,-0.00655238172,"[1, 3, 5, 7, 9, 11, 13]"
22,0-1__2-3__4-5__6-7__8__9__10-11__12-13__14-15,-0.006013452653,"[0, 2, 4, 6, 10, 12, 14]"
23,0-1__2-3__4__5-6__7-8__9__10-11__12-13__14-15,0.000822175662,"[0, 2, 5, 7, 10, 12, 14]"
24,0-1__2-3__4-5__6-7__8-9__10-11__12__13-14__15,0.009875294352,"[0, 2, 4, 6, 8, 10, 13]"
25,0-1__2__3__4-5__6-7__8-9__10-11__12-13__14-15,0.015595755871,"[0, 4, 6, 8, 10, 12, 14]"
26,0-1__2__3-4__5-6__7__8-9__10-11__12-13__14-15,0.017569534409,"[0, 3, 5, 8, 10, 12, 14]"
27,0__1-2__3__4-5__6-7__8-9__10-11__12-13__14-15,0.017964250843,"[1, 4, 6, 8, 10, 12, 14]"
28,0__1-2__3-4__5-6__7__8-9__10-11__12-13__14-15,0.01993802938,"[1, 3, 5, 8, 10, 12, 14]"
29,0-1__2__3-4__5-6__7-8__9__10-11__12-13__14-15,0.025415293203,"[0, 3, 5, 7, 10, 12, 14]"
30,0__1-2__3-4__5-6__7-8__9__10-11__12-13__14-15,0.027783788175,"[1, 3, 5, 7, 10, 12, 14]"
31,0-1__2-3__4-5__6-7__8-9__10-11__12-13__14__15,0.055311709886,"[0, 2, 4, 6, 8, 10, 12]"
32,0-1__2-3__4-5__6__7-8__9-10__11__12-13__14-15,0.060197943847,"[0, 2, 4, 7, 9, 12, 14]"
33,0-1__2-3__4-5__6__7-8__9-10__11-12__13__14-15,0.068100816838,"[0, 2, 4, 7, 9, 11, 14]"
34,0-1__2-3__4-5__6__7-8__9-10__11-12__13-14__15,0.091032688725,"[0, 2, 4, 7, 9, 11, 13]"
35,0-1__2-3__4-5__6__7__8-9__10-11__12-13__14-15,0.117523099825,"[0, 2, 4, 8, 10, 12, 14]"
36,0-1__2-3__4-5__6__7-8__9__10-11__12-13__14-15,0.12536885862,"[0, 2, 4, 7, 10, 12, 14]"
