predicted_rank,partition_id,predicted_score,merged_boundaries
1,0__1__2__3__4__5__6-7__8__9__10__11__12__13__14-15,-0.159730046271,"[6, 14]"
2,0__1__2__3__4__5__6-7__8__9__10__11__12__13-14__15,-0.136798174385,"[6, 13]"
3,0__1__2__3__4__5-6__7__8__9__10__11__12__13__14-15,-0.129435701355,"[5, 14]"
4,0__1__2__3__4__5__6-7__8__9-10__11__12__13__14__15,-0.12143095598,"[6, 9]"
5,0__1__2-3__4__5__6-7__8__9__10__11__12__13__14__15,-0.120014092256,"[2, 6]"
6,0__1__2__3__4__5-6__7__8__9__10__11__12__13-14__15,-0.106503829469,"[5, 13]"
7,0__1__2__3__4__5__6-7__8-9__10__11__12__13__14__15,-0.098404883732,"[6, 8]"
8,0__1__2__3-4__5__6-7__8__9__10__11__12__13__14__15,-0.095420974715,"[3, 6]"
9,0__1__2__3__4__5__6-7__8__9__10__11__12-13__14__15,-0.091361758851,"[6, 12]"
10,0__1__2__3__4__5-6__7__8__9-10__11__12__13__14__15,-0.091136611065,"[5, 9]"
11,0__1__2-3__4__5-6__7__8__9__10__11__12__13__14__15,-0.089719747341,"[2, 5]"
12,0__1__2__3__4__5__6-7__8__9__10__11-12__13__14__15,-0.08345888586,"[6, 11]"
13,0__1__2__3__4__5-6__7__8-9__10__11__12__13__14__15,-0.068110538817,"[5, 8]"
14,0__1__2__3__4-5__6-7__8__9__10__11__12__13__14__15,-0.067100408338,"[4, 6]"
15,0-1__2__3__4__5__6-7__8__9__10__11__12__13__14__15,-0.066400696255,"[0, 6]"
16,0__1__2__3-4__5-6__7__8__9__10__11__12__13__14__15,-0.0651266298,"[3, 5]"
17,0__1-2__3__4__5__6-7__8__9__10__11__12__13__14__15,-0.064032201283,"[1, 6]"
18,0__1__2__3__4__5-6__7__8__9__10__11__12-13__14__15,-0.061067413935,"[5, 12]"
19,0__1__2__3__4__5-6__7-8__9__10__11__12__13__14__15,-0.060264780022,"[5, 7]"
20,0__1__2__3__4__5__6__7__8__9-10__11__12__13__14-15,-0.059219566041,"[9, 14]"
21,0__1__2-3__4__5__6__7__8__9__10__11__12__13__14-15,-0.057802702317,"[2, 14]"
22,0__1__2__3__4__5__6-7__8__9__10-11__12__13__14__15,-0.056260041208,"[6, 10]"
23,0__1__2__3__4__5-6__7__8__9__10__11-12__13__14__15,-0.053164540944,"[5, 11]"
24,0__1__2__3__4__5__6__7__8__9-10__11__12__13-14__15,-0.036287694155,"[9, 13]"
25,0__1__2__3__4__5__6__7__8-9__10__11__12__13__14-15,-0.036193493793,"[8, 14]"
26,0-1__2__3__4__5-6__7__8__9__10__11__12__13__14__15,-0.036106351339,"[0, 5]"
27,0__1__2-3__4__5__6__7__8__9__10__11__12__13-14__15,-0.03487083043,"[2, 13]"
28,0__1-2__3__4__5-6__7__8__9__10__11__12__13__14__15,-0.033737856368,"[1, 5]"
29,0__1__2__3-4__5__6__7__8__9__10__11__12__13__14-15,-0.033209584776,"[3, 14]"
30,0__1__2__3__4__5__6__7__8__9__10__11__12-13__14-15,-0.029150368912,"[12, 14]"
31,0__1__2__3__4__5__6__7-8__9__10__11__12__13__14-15,-0.028347734999,"[7, 14]"
32,0__1__2__3__4__5-6__7__8__9__10-11__12__13__14__15,-0.025965696293,"[5, 10]"
33,0__1__2__3__4__5__6__7__8__9__10__11-12__13__14-15,-0.02124749592,"[11, 14]"
34,0__1__2-3__4__5__6__7__8__9-10__11__12__13__14__15,-0.019503612026,"[2, 9]"
35,0__1__2__3__4__5__6__7__8-9__10__11__12__13-14__15,-0.013261621907,"[8, 13]"
36,0__1__2__3-4__5__6__7__8__9__10__11__12__13-14__15,-0.01027771289,"[3, 13]"
37,0__1__2__3__4__5__6__7-8__9__10__11__12__13-14__15,-0.005415863112,"[7, 13]"
38,0__1__2__3__4-5__6__7__8__9__10__11__12__13__14-15,-0.004889018398,"[4, 14]"
39,0-1__2__3__4__5__6__7__8__9__10__11__12__13__14-15,-0.004189306315,"[0, 14]"
40,0__1-2__3__4__5__6__7__8__9__10__11__12__13__14-15,-0.001820811344,"[1, 14]"
41,0__1__2__3__4__5__6__7__8__9__10__11-12__13-14__15,0.001684375966,"[11, 13]"
42,0__1__2-3__4__5__6__7__8-9__10__11__12__13__14__15,0.003522460222,"[2, 8]"
43,0__1__2__3-4__5__6__7__8__9-10__11__12__13__14__15,0.005089505515,"[3, 9]"
44,0__1__2__3__4__5__6__7__8__9__10-11__12__13__14-15,0.005951348731,"[10, 14]"
