predicted_rank,partition_id,predicted_score,merged_boundaries
1,0__1__2__3__4__5__6-7__8__9__10__11__12__13__14__15,-0.110970718105,[6]
2,0__1__2__3__4__5-6__7__8__9__10__11__12__13__14__15,-0.08067637319,[5]
3,0__1__2__3__4__5__6__7__8__9__10__11__12__13__14-15,-0.048759328166,[14]
4,0__1__2__3__4__5__6__7__8__9__10__11__12__13-14__15,-0.02582745628,[13]
5,0__1__2__3__4__5__6__7__8__9-10__11__12__13__14__15,-0.010460237875,[9]
6,0__1__2-3__4__5__6__7__8__9__10__11__12__13__14__15,-0.009043374151,[2]
7,0__1__2__3__4__5__6__7__8-9__10__11__12__13__14__15,0.012565834373,[8]
8,0__1__2__3-4__5__6__7__8__9__10__11__12__13__14__15,0.01554974339,[3]
9,0__1__2__3__4__5__6__7__8__9__10__11__12-13__14__15,0.019608959254,[12]
10,0__1__2__3__4__5__6__7-8__9__10__11__12__13__14__15,0.020411593167,[7]
11,0__1__2__3__4__5__6__7__8__9__10__11-12__13__14__15,0.027511832245,[11]
12,0__1__2__3__4-5__6__7__8__9__10__11__12__13__14__15,0.043870309768,[4]
13,0-1__2__3__4__5__6__7__8__9__10__11__12__13__14__15,0.04457002185,[0]
14,0__1-2__3__4__5__6__7__8__9__10__11__12__13__14__15,0.046938516822,[1]
15,0__1__2__3__4__5__6__7__8__9__10-11__12__13__14__15,0.054710676897,[10]
