predicted_rank,partition_id,predicted_score,merged_boundaries
51,0-1__2-3__4__5-6__7__8-9__10__11-12__13__14-15,-0.053831387038,"[0, 2, 5, 8, 11, 14]"
52,0__1__2__3-4__5-6__7-8__9-10__11-12__13-14__15,-0.053490898542,"[3, 5, 7, 9, 11, 13]"
53,0__1-2__3__4__5-6__7-8__9-10__11__12-13__14-15,-0.052936869987,"[1, 5, 7, 9, 12, 14]"
54,0-1__2-3__4-5__6-7__8__9__10__11-12__13__14-15,-0.052821256558,"[0, 2, 4, 6, 11, 14]"
55,0-1__2__3-4__5-6__7__8__9-10__11-12__13__14-15,-0.052264341745,"[0, 3, 5, 9, 11, 14]"
56,0__1-2__3__4-5__6-7__8__9-10__11-12__13__14-15,-0.051869625311,"[1, 4, 6, 9, 11, 14]"
57,0__1__2-3__4__5-6__7__8-9__10-11__12-13__14-15,-0.051593604983,"[2, 5, 8, 10, 12, 14]"
58,0__1__2-3__4-5__6-7__8__9__10-11__12-13__14-15,-0.050583474503,"[2, 4, 6, 10, 12, 14]"
59,0__1-2__3-4__5-6__7__8__9-10__11-12__13__14-15,-0.049895846773,"[1, 3, 5, 9, 11, 14]"
60,0-1__2-3__4__5__6-7__8__9__10-11__12-13__14-15,-0.04988376242,"[0, 2, 6, 10, 12, 14]"
61,0-1__2__3__4__5-6__7-8__9-10__11-12__13__14-15,-0.047402491968,"[0, 5, 7, 9, 11, 14]"
62,0-1__2-3__4__5-6__7-8__9__10__11-12__13__14-15,-0.045985628243,"[0, 2, 5, 7, 11, 14]"
63,0__1-2__3__4__5-6__7-8__9-10__11-12__13__14-15,-0.045033996996,"[1, 5, 7, 9, 11, 14]"
64,0-1__2-3__4-5__6-7__8-9__10__11__12__13-14__15,-0.044835382545,"[0, 2, 4, 6, 8, 13]"
65,0__1__2-3__4__5-6__7-8__9__10-11__12-13__14-15,-0.043747846188,"[2, 5, 7, 10, 12, 14]"
66,0-1__2__3__4-5__6-7__8-9__10__11__12-13__14-15,-0.039114921026,"[0, 4, 6, 8, 12, 14]"
67,0-1__2__3-4__5-6__7__8-9__10__11__12-13__14-15,-0.037141142488,"[0, 3, 5, 8, 12, 14]"
68,0__1-2__3__4-5__6-7__8-9__10__11__12-13__14-15,-0.036746426054,"[1, 4, 6, 8, 12, 14]"
69,0-1__2__3-4__5__6-7__8-9__10__11-12__13-14__15,-0.036600742526,"[0, 3, 6, 8, 11, 13]"
70,0-1__2__3-4__5-6__7-8__9-10__11__12__13-14__15,-0.036432708937,"[0, 3, 5, 7, 9, 13]"
71,0__1-2__3-4__5-6__7__8-9__10__11__12-13__14-15,-0.034772647516,"[1, 3, 5, 8, 12, 14]"
72,0__1__2-3__4-5__6-7__8-9__10-11__12__13-14__15,-0.034694727499,"[2, 4, 6, 8, 10, 13]"
73,0__1-2__3-4__5__6-7__8-9__10__11-12__13-14__15,-0.034232247555,"[1, 3, 6, 8, 11, 13]"
74,0__1-2__3-4__5-6__7-8__9-10__11__12__13-14__15,-0.034064213965,"[1, 3, 5, 7, 9, 13]"
75,0-1__2-3__4__5__6-7__8-9__10-11__12__13-14__15,-0.033995015416,"[0, 2, 6, 8, 10, 13]"
76,0-1__2__3-4__5__6-7__8-9__10-11__12__13__14-15,-0.032333769761,"[0, 3, 6, 8, 10, 14]"
77,0-1__2__3__4-5__6-7__8__9-10__11-12__13-14__15,-0.031306248397,"[0, 4, 6, 9, 11, 13]"
78,0-1__2__3__4-5__6-7__8-9__10__11-12__13__14-15,-0.031212048035,"[0, 4, 6, 8, 11, 14]"
79,0-1__2-3__4__5-6__7__8-9__10__11-12__13-14__15,-0.030899515152,"[0, 2, 5, 8, 11, 13]"
80,0__1-2__3-4__5__6-7__8-9__10-11__12__13__14-15,-0.029965274789,"[1, 3, 6, 8, 10, 14]"
81,0-1__2-3__4-5__6-7__8__9__10__11-12__13-14__15,-0.029889384672,"[0, 2, 4, 6, 11, 13]"
82,0-1__2__3-4__5-6__7__8__9-10__11-12__13-14__15,-0.029332469859,"[0, 3, 5, 9, 11, 13]"
83,0-1__2__3-4__5-6__7-8__9__10__11__12-13__14-15,-0.029295383694,"[0, 3, 5, 7, 12, 14]"
84,0-1__2__3-4__5-6__7__8-9__10__11-12__13__14-15,-0.029238269497,"[0, 3, 5, 8, 11, 14]"
85,0__1__2__3__4-5__6-7__8-9__10-11__12-13__14-15,-0.02897426598,"[4, 6, 8, 10, 12, 14]"
86,0__1-2__3__4-5__6-7__8__9-10__11-12__13-14__15,-0.028937753425,"[1, 4, 6, 9, 11, 13]"
87,0__1-2__3__4-5__6-7__8-9__10__11-12__13__14-15,-0.028843553063,"[1, 4, 6, 8, 11, 14]"
88,0-1__2__3__4__5__6-7__8-9__10-11__12-13__14-15,-0.028274553897,"[0, 6, 8, 10, 12, 14]"
89,0__1__2__3-4__5-6__7__8-9__10-11__12-13__14-15,-0.027000487442,"[3, 5, 8, 10, 12, 14]"
90,0__1-2__3-4__5-6__7__8__9-10__11-12__13-14__15,-0.026963974887,"[1, 3, 5, 9, 11, 13]"
91,0__1-2__3-4__5-6__7-8__9__10__11__12-13__14-15,-0.026926888722,"[1, 3, 5, 7, 12, 14]"
92,0__1-2__3-4__5-6__7__8-9__10__11-12__13__14-15,-0.026869774525,"[1, 3, 5, 8, 11, 14]"
93,0-1__2-3__4__5-6__7__8-9__10-11__12__13__14-15,-0.026632542386,"[0, 2, 5, 8, 10, 14]"
94,0__1-2__3__4__5__6-7__8-9__10-11__12-13__14-15,-0.025906058925,"[1, 6, 8, 10, 12, 14]"
95,0-1__2-3__4-5__6-7__8__9__10-11__12__13__14-15,-0.025622411907,"[0, 2, 4, 6, 10, 14]"
96,0-1__2__3-4__5__6-7__8__9__10-11__12-13__14-15,-0.025290644879,"[0, 3, 6, 10, 12, 14]"
97,0-1__2__3__4__5-6__7-8__9-10__11-12__13-14__15,-0.024470620082,"[0, 5, 7, 9, 11, 13]"
98,0-1__2-3__4__5-6__7-8__9__10__11-12__13-14__15,-0.023053756357,"[0, 2, 5, 7, 11, 13]"
99,0__1-2__3-4__5__6-7__8__9__10-11__12-13__14-15,-0.022922149908,"[1, 3, 6, 10, 12, 14]"
100,0-1__2-3__4-5__6-7__8__9-10__11__12-13__14__15,-0.022425039259,"[0, 2, 4, 6, 9, 12]"
101,0__1-2__3__4__5-6__7-8__9-10__11-12__13-14__15,-0.02210212511,"[1, 5, 7, 9, 11, 13]"
102,0-1__2__3-4__5-6__7-8__9__10__11-12__13__14-15,-0.021392510702,"[0, 3, 5, 7, 11, 14]"
103,0-1__2-3__4__5-6__7__8__9__10-11__12-13__14-15,-0.019589417505,"[0, 2, 5, 10, 12, 14]"
104,0__1__2__3-4__5-6__7-8__9__10-11__12-13__14-15,-0.019154728647,"[3, 5, 7, 10, 12, 14]"
105,0__1-2__3-4__5-6__7-8__9__10__11-12__13__14-15,-0.019024015731,"[1, 3, 5, 7, 11, 14]"
106,0-1__2-3__4__5-6__7-8__9__10-11__12__13__14-15,-0.018786783592,"[0, 2, 5, 7, 10, 14]"
107,0-1__2-3__4__5-6__7-8__9-10__11__12-13__14__15,-0.015589410944,"[0, 2, 5, 7, 9, 12]"
108,0-1__2-3__4-5__6-7__8__9-10__11-12__13__14__15,-0.014522166268,"[0, 2, 4, 6, 9, 11]"
109,0-1__2__3-4__5__6-7__8-9__10-11__12__13-14__15,-0.009401897875,"[0, 3, 6, 8, 10, 13]"
110,0-1__2__3__4-5__6-7__8-9__10__11-12__13-14__15,-0.008280176149,"[0, 4, 6, 8, 11, 13]"
111,0-1__2-3__4__5-6__7-8__9-10__11-12__13__14__15,-0.007686537953,"[0, 2, 5, 7, 9, 11]"
112,0__1-2__3-4__5__6-7__8-9__10-11__12__13-14__15,-0.007033402903,"[1, 3, 6, 8, 10, 13]"
113,0-1__2__3-4__5-6__7__8-9__10__11-12__13-14__15,-0.006306397611,"[0, 3, 5, 8, 11, 13]"
114,0__1-2__3__4-5__6-7__8-9__10__11-12__13-14__15,-0.005911681177,"[1, 4, 6, 8, 11, 13]"
115,0-1__2__3__4-5__6-7__8-9__10-11__12__13__14-15,-0.004013203383,"[0, 4, 6, 8, 10, 14]"
116,0__1-2__3-4__5-6__7__8-9__10__11-12__13-14__15,-0.003937902639,"[1, 3, 5, 8, 11, 13]"
117,0-1__2-3__4__5-6__7__8-9__10-11__12__13-14__15,-0.0037006705,"[0, 2, 5, 8, 10, 13]"
118,0-1__2-3__4-5__6-7__8__9__10-11__12__13-14__15,-0.002690540021,"[0, 2, 4, 6, 10, 13]"
119,0-1__2__3-4__5-6__7__8-9__10-11__12__13__14-15,-0.002039424846,"[0, 3, 5, 8, 10, 14]"
120,0__1-2__3__4-5__6-7__8-9__10-11__12__13__14-15,-0.001644708412,"[1, 4, 6, 8, 10, 14]"
121,0__1-2__3-4__5-6__7__8-9__10-11__12__13__14-15,0.000329070126,"[1, 3, 5, 8, 10, 14]"
122,0-1__2-3__4-5__6-7__8-9__10__11__12-13__14__15,0.000601032989,"[0, 2, 4, 6, 8, 12]"
123,0-1__2__3-4__5-6__7-8__9__10__11-12__13-14__15,0.001539361184,"[0, 3, 5, 7, 11, 13]"
124,0-1__2__3__4__5-6__7__8-9__10-11__12-13__14-15,0.002019791019,"[0, 5, 8, 10, 12, 14]"
125,0-1__2__3__4-5__6-7__8__9__10-11__12-13__14-15,0.003029921498,"[0, 4, 6, 10, 12, 14]"
126,0__1-2__3-4__5-6__7-8__9__10__11-12__13-14__15,0.003907856155,"[1, 3, 5, 7, 11, 13]"
127,0-1__2-3__4__5-6__7-8__9__10-11__12__13-14__15,0.004145088294,"[0, 2, 5, 7, 10, 13]"
128,0__1-2__3__4__5-6__7__8-9__10-11__12-13__14-15,0.00438828599,"[1, 5, 8, 10, 12, 14]"
129,0-1__2__3-4__5-6__7__8__9__10-11__12-13__14-15,0.005003700036,"[0, 3, 5, 10, 12, 14]"
130,0__1-2__3__4-5__6-7__8__9__10-11__12-13__14-15,0.00539841647,"[1, 4, 6, 10, 12, 14]"
131,0-1__2__3-4__5-6__7-8__9__10-11__12__13__14-15,0.005806333949,"[0, 3, 5, 7, 10, 14]"
132,0__1-2__3-4__5-6__7__8__9__10-11__12-13__14-15,0.007372195008,"[1, 3, 5, 10, 12, 14]"
133,0__1-2__3-4__5-6__7-8__9__10-11__12__13__14-15,0.008174828921,"[1, 3, 5, 7, 10, 14]"
134,0-1__2-3__4-5__6-7__8-9__10__11-12__13__14__15,0.00850390598,"[0, 2, 4, 6, 8, 11]"
135,0-1__2__3-4__5-6__7-8__9-10__11__12-13__14__15,0.009003706597,"[0, 3, 5, 7, 9, 12]"
136,0-1__2__3__4__5-6__7-8__9__10-11__12-13__14-15,0.009865549813,"[0, 5, 7, 10, 12, 14]"
137,0__1__2-3__4-5__6-7__8-9__10-11__12-13__14__15,0.010741688035,"[2, 4, 6, 8, 10, 12]"
138,0__1-2__3-4__5-6__7-8__9-10__11__12-13__14__15,0.011372201568,"[1, 3, 5, 7, 9, 12]"
139,0-1__2-3__4__5__6-7__8-9__10-11__12-13__14__15,0.011441400118,"[0, 2, 6, 8, 10, 12]"
140,0__1-2__3__4__5-6__7-8__9__10-11__12-13__14-15,0.012234044785,"[1, 5, 7, 10, 12, 14]"
141,0__1__2-3__4-5__6__7-8__9-10__11__12-13__14-15,0.015627921997,"[2, 4, 7, 9, 12, 14]"
142,0-1__2-3__4__5__6__7-8__9-10__11__12-13__14-15,0.01632763408,"[0, 2, 7, 9, 12, 14]"
143,0-1__2__3-4__5-6__7-8__9-10__11-12__13__14__15,0.016906579588,"[0, 3, 5, 7, 9, 11]"
144,0-1__2__3__4-5__6-7__8-9__10-11__12__13-14__15,0.018918668503,"[0, 4, 6, 8, 10, 13]"
145,0__1-2__3-4__5-6__7-8__9-10__11-12__13__14__15,0.01927507456,"[1, 3, 5, 7, 9, 11]"
146,0-1__2__3-4__5-6__7__8-9__10-11__12__13-14__15,0.020892447041,"[0, 3, 5, 8, 10, 13]"
147,0__1-2__3__4-5__6-7__8-9__10-11__12__13-14__15,0.021287163474,"[1, 4, 6, 8, 10, 13]"
148,0__1-2__3-4__5-6__7__8-9__10-11__12__13-14__15,0.023260942012,"[1, 3, 5, 8, 10, 13]"
149,0__1__2-3__4-5__6__7-8__9-10__11-12__13__14-15,0.023530794988,"[2, 4, 7, 9, 11, 14]"
150,0-1__2-3__4__5__6__7-8__9-10__11-12__13__14-15,0.024230507071,"[0, 2, 7, 9, 11, 14]"
151,0-1__2__3-4__5-6__7-8__9__10-11__12__13-14__15,0.028738205835,"[0, 3, 5, 7, 10, 13]"
152,0__1-2__3-4__5-6__7-8__9__10-11__12__13-14__15,0.031106700807,"[1, 3, 5, 7, 10, 13]"
153,0-1__2-3__4-5__6-7__8-9__10-11__12__13__14__15,0.035702750631,"[0, 2, 4, 6, 8, 10]"
154,0-1__2__3-4__5__6-7__8-9__10-11__12-13__14__15,0.036034517659,"[0, 3, 6, 8, 10, 12]"
155,0__1-2__3-4__5__6-7__8-9__10-11__12-13__14__15,0.038403012631,"[1, 3, 6, 8, 10, 12]"
156,0-1__2-3__4-5__6__7__8__9-10__11__12-13__14-15,0.03978635068,"[0, 2, 4, 9, 12, 14]"
157,0-1__2-3__4-5__6__7-8__9-10__11__12__13__14-15,0.040588984593,"[0, 2, 4, 7, 9, 14]"
158,0-1__2__3-4__5__6__7-8__9-10__11__12-13__14-15,0.040920751621,"[0, 3, 7, 9, 12, 14]"
159,0-1__2-3__4__5-6__7__8-9__10-11__12-13__14__15,0.041735745034,"[0, 2, 5, 8, 10, 12]"
160,0-1__2-3__4-5__6-7__8__9__10-11__12-13__14__15,0.042745875513,"[0, 2, 4, 6, 10, 12]"
161,0__1-2__3-4__5__6__7-8__9-10__11__12-13__14-15,0.043289246592,"[1, 3, 7, 9, 12, 14]"
162,0__1__2-3__4-5__6__7-8__9-10__11-12__13-14__15,0.046462666874,"[2, 4, 7, 9, 11, 13]"
163,0-1__2-3__4__5__6__7-8__9-10__11-12__13-14__15,0.047162378957,"[0, 2, 7, 9, 11, 13]"
164,0-1__2-3__4-5__6__7__8__9-10__11-12__13__14-15,0.047689223671,"[0, 2, 4, 9, 11, 14]"
165,0-1__2__3-4__5__6__7-8__9-10__11-12__13__14-15,0.048823624612,"[0, 3, 7, 9, 11, 14]"
166,0-1__2-3__4__5-6__7-8__9__10-11__12-13__14__15,0.049581503828,"[0, 2, 5, 7, 10, 12]"
167,0__1-2__3-4__5__6__7-8__9-10__11-12__13__14-15,0.051192119583,"[1, 3, 7, 9, 11, 14]"
168,0-1__2-3__4-5__6__7__8-9__10__11__12-13__14-15,0.062812422928,"[0, 2, 4, 8, 12, 14]"
169,0-1__2-3__4-5__6__7-8__9-10__11__12__13-14__15,0.063520856479,"[0, 2, 4, 7, 9, 13]"
170,0-1__2__3__4-5__6-7__8-9__10-11__12-13__14__15,0.064355084037,"[0, 4, 6, 8, 10, 12]"
171,0-1__2__3-4__5-6__7__8-9__10-11__12-13__14__15,0.066328862575,"[0, 3, 5, 8, 10, 12]"
172,0__1-2__3__4-5__6-7__8-9__10-11__12-13__14__15,0.066723579008,"[1, 4, 6, 8, 10, 12]"
173,0__1-2__3-4__5-6__7__8-9__10-11__12-13__14__15,0.068697357546,"[1, 3, 5, 8, 10, 12]"
174,0-1__2__3__4-5__6__7-8__9-10__11__12-13__14-15,0.069241317998,"[0, 4, 7, 9, 12, 14]"
175,0-1__2-3__4-5__6__7__8__9-10__11-12__13-14__15,0.070621095557,"[0, 2, 4, 9, 11, 13]"
176,0-1__2-3__4-5__6__7-8__9__10__11__12-13__14-15,0.070658181723,"[0, 2, 4, 7, 12, 14]"
177,0-1__2-3__4-5__6__7__8-9__10__11-12__13__14-15,0.070715295919,"[0, 2, 4, 8, 11, 14]"
178,0__1-2__3__4-5__6__7-8__9-10__11__12-13__14-15,0.07160981297,"[1, 4, 7, 9, 12, 14]"
179,0-1__2__3-4__5__6__7-8__9-10__11-12__13-14__15,0.071755496498,"[0, 3, 7, 9, 11, 13]"
180,0__1__2-3__4-5__6__7__8-9__10-11__12-13__14-15,0.072953077975,"[2, 4, 8, 10, 12, 14]"
181,0-1__2-3__4__5__6__7__8-9__10-11__12-13__14-15,0.073652790057,"[0, 2, 8, 10, 12, 14]"
182,0__1-2__3-4__5__6__7-8__9-10__11-12__13-14__15,0.07412399147,"[1, 3, 7, 9, 11, 13]"
183,0-1__2__3-4__5-6__7-8__9__10-11__12-13__14__15,0.074174621369,"[0, 3, 5, 7, 10, 12]"
184,0__1-2__3-4__5-6__7-8__9__10-11__12-13__14__15,0.076543116341,"[1, 3, 5, 7, 10, 12]"
185,0-1__2__3__4-5__6__7-8__9-10__11-12__13__14-15,0.077144190989,"[0, 4, 7, 9, 11, 14]"
186,0-1__2-3__4-5__6__7-8__9__10__11-12__13__14-15,0.078561054714,"[0, 2, 4, 7, 11, 14]"
187,0__1-2__3__4-5__6__7-8__9-10__11-12__13__14-15,0.079512685961,"[1, 4, 7, 9, 11, 14]"
188,0__1__2-3__4-5__6__7-8__9__10-11__12-13__14-15,0.080798836769,"[2, 4, 7, 10, 12, 14]"
189,0-1__2-3__4__5__6__7-8__9__10-11__12-13__14-15,0.081498548852,"[0, 2, 7, 10, 12, 14]"
190,0-1__2-3__4-5__6__7__8-9__10__11-12__13-14__15,0.093647167805,"[0, 2, 4, 8, 11, 13]"
191,0-1__2-3__4-5__6__7__8-9__10-11__12__13__14-15,0.097914140571,"[0, 2, 4, 8, 10, 14]"
192,0-1__2__3-4__5__6__7__8-9__10-11__12-13__14-15,0.098245907598,"[0, 3, 8, 10, 12, 14]"
193,0-1__2__3__4-5__6__7-8__9-10__11-12__13-14__15,0.100076062876,"[0, 4, 7, 9, 11, 13]"
194,0__1-2__3-4__5__6__7__8-9__10-11__12-13__14-15,0.10061440257,"[1, 3, 8, 10, 12, 14]"
195,0-1__2-3__4-5__6__7-8__9__10__11-12__13-14__15,0.1014929266,"[0, 2, 4, 7, 11, 13]"
196,0__1-2__3__4-5__6__7-8__9-10__11-12__13-14__15,0.102444557847,"[1, 4, 7, 9, 11, 13]"
197,0-1__2-3__4-5__6__7__8__9__10-11__12-13__14-15,0.104957265452,"[0, 2, 4, 10, 12, 14]"
198,0-1__2-3__4-5__6__7-8__9__10-11__12__13__14-15,0.105759899365,"[0, 2, 4, 7, 10, 14]"
199,0-1__2__3-4__5__6__7-8__9__10-11__12-13__14-15,0.106091666393,"[0, 3, 7, 10, 12, 14]"
200,0__1-2__3-4__5__6__7-8__9__10-11__12-13__14-15,0.108460161365,"[1, 3, 7, 10, 12, 14]"
201,0-1__2-3__4-5__6__7-8__9-10__11__12-13__14__15,0.108957272013,"[0, 2, 4, 7, 9, 12]"
202,0-1__2-3__4-5__6__7-8__9-10__11-12__13__14__15,0.116860145004,"[0, 2, 4, 7, 9, 11]"
203,0-1__2-3__4-5__6__7__8-9__10-11__12__13-14__15,0.120846012457,"[0, 2, 4, 8, 10, 13]"
204,0-1__2__3__4-5__6__7__8-9__10-11__12-13__14-15,0.126566473976,"[0, 4, 8, 10, 12, 14]"
205,0-1__2-3__4-5__6__7-8__9__10-11__12__13-14__15,0.128691771252,"[0, 2, 4, 7, 10, 13]"
206,0__1-2__3__4-5__6__7__8-9__10-11__12-13__14-15,0.128934968948,"[1, 4, 8, 10, 12, 14]"
207,0-1__2__3__4-5__6__7-8__9__10-11__12-13__14-15,0.134412232771,"[0, 4, 7, 10, 12, 14]"
208,0__1-2__3__4-5__6__7-8__9__10-11__12-13__14-15,0.136780727742,"[1, 4, 7, 10, 12, 14]"
209,0-1__2-3__4-5__6__7__8-9__10-11__12-13__14__15,0.166282427991,"[0, 2, 4, 8, 10, 12]"
210,0-1__2-3__4-5__6__7-8__9__10-11__12-13__14__15,0.174128186785,"[0, 2, 4, 7, 10, 12]"
