step,loss_A,loss_B,loss_C,delta_A_minus_B,delta_A_minus_C,delta_C_minus_B
1510,4.599558353424072,4.6070404052734375,4.593034744262695,-0.007482051849365234,0.006523609161376953,-0.014005661010742188
1520,4.301543235778809,4.304101943969727,4.300533771514893,-0.0025587081909179688,0.0010094642639160156,-0.0035681724548339844
1530,4.360598564147949,4.360081672668457,4.363104820251465,0.0005168914794921875,-0.002506256103515625,0.0030231475830078125
1540,4.539797782897949,4.5412678718566895,4.539149284362793,-0.0014700889587402344,0.00064849853515625,-0.0021185874938964844
1550,4.580106258392334,4.578742027282715,4.578757286071777,0.0013642311096191406,0.0013489723205566406,1.52587890625e-05
1560,4.492598533630371,4.492607116699219,4.491676330566406,-8.58306884765625e-06,0.0009222030639648438,-0.0009307861328125
1570,4.2266669273376465,4.229535102844238,4.225671768188477,-0.002868175506591797,0.0009951591491699219,-0.0038633346557617188
1580,4.381299018859863,4.383910179138184,4.382248878479004,-0.0026111602783203125,-0.000949859619140625,-0.0016613006591796875
1590,4.367954254150391,4.368264675140381,4.36649227142334,-0.0003104209899902344,0.0014619827270507812,-0.0017724037170410156
1600,4.476274013519287,4.478317737579346,4.476324081420898,-0.0020437240600585938,-5.0067901611328125e-05,-0.0019936561584472656
1610,4.400263786315918,4.399025917053223,4.397224426269531,0.0012378692626953125,0.0030393600463867188,-0.0018014907836914062
1620,4.299060821533203,4.3008713722229,4.300025463104248,-0.0018105506896972656,-0.0009646415710449219,-0.0008459091186523438
1630,4.334798336029053,4.333585739135742,4.333195686340332,0.0012125968933105469,0.0016026496887207031,-0.00039005279541015625
1640,4.792792797088623,4.795135021209717,4.792751789093018,-0.00234222412109375,4.100799560546875e-05,-0.0023832321166992188
1650,4.288636207580566,4.288663864135742,4.287341117858887,-2.765655517578125e-05,0.0012950897216796875,-0.0013227462768554688
1660,4.3690571784973145,4.369409561157227,4.368685722351074,-0.0003523826599121094,0.0003714561462402344,-0.0007238388061523438
1670,4.443474292755127,4.444387435913086,4.4447431564331055,-0.0009131431579589844,-0.0012688636779785156,0.00035572052001953125
1680,4.359617233276367,4.355794906616211,4.358014106750488,0.00382232666015625,0.0016031265258789062,0.0022192001342773438
