choice_rank,mixed_rank,partition_id,nll,delta_nll_vs_native_h16,merged_boundaries,routing_groups,segment_widths
320,319,0-1__2__3__4__5__6__7-8__9__10__11-12__13__14-15,5.177292060758828,0.8113734626583575,"[0, 7, 11, 14]",12,"[160, 80, 80, 80, 80, 80, 160, 80, 80, 160, 80, 160]"
321,320,0__1-2__3-4__5__6__7-8__9__10__11__12__13__14-15,5.178095336533711,0.8121767384332408,"[1, 3, 7, 14]",12,"[80, 160, 160, 80, 80, 160, 80, 80, 80, 80, 80, 160]"
322,321,0-1__2-3__4__5__6__7__8__9__10__11__12-13__14-15,5.178543043276432,0.8126244451759614,"[0, 2, 12, 14]",12,"[160, 160, 80, 80, 80, 80, 80, 80, 80, 80, 160, 160]"
323,322,0__1-2__3__4__5__6__7-8__9__10__11-12__13__14-15,5.179604273970409,0.8136856758699391,"[1, 7, 11, 14]",12,"[80, 160, 80, 80, 80, 80, 160, 80, 80, 160, 80, 160]"
324,323,0__1-2__3-4__5-6__7__8__9__10-11__12__13__14__15,5.179688738005368,0.8137701399048982,"[1, 3, 5, 10]",12,"[80, 160, 160, 160, 80, 80, 80, 160, 80, 80, 80, 80]"
325,324,0__1__2__3-4__5__6__7__8-9__10__11-12__13-14__15,5.180743622989598,0.814825024889128,"[3, 8, 11, 13]",12,"[80, 80, 80, 160, 80, 80, 80, 160, 80, 160, 160, 80]"
326,325,0__1__2__3-4__5__6__7__8__9__10-11__12-13__14-15,5.181157139622455,0.8152385415219845,"[3, 10, 12, 14]",12,"[80, 80, 80, 160, 80, 80, 80, 80, 80, 160, 160, 160]"
327,326,0-1__2__3-4__5-6__7__8__9__10-11__12__13__14__15,5.181764055440386,0.8158454573399156,"[0, 3, 5, 10]",12,"[160, 80, 160, 160, 80, 80, 80, 160, 80, 80, 80, 80]"
328,327,0__1__2-3__4__5__6__7-8__9__10__11-12__13-14__15,5.183083702042655,0.8171651039421848,"[2, 7, 11, 13]",12,"[80, 80, 160, 80, 80, 80, 160, 80, 80, 160, 160, 80]"
329,328,0__1__2__3__4__5__6__7-8__9__10-11__12-13__14-15,5.184331382591121,0.8184127844906506,"[7, 10, 12, 14]",12,"[80, 80, 80, 80, 80, 80, 80, 160, 80, 160, 160, 160]"
330,329,0__1-2__3__4__5__6__7-8__9-10__11__12__13-14__15,5.184558642807827,0.8186400447073572,"[1, 7, 9, 13]",12,"[80, 160, 80, 80, 80, 80, 160, 160, 80, 80, 160, 80]"
