predicted_rank,partition_id,predicted_score,merged_boundaries
1,0__1__2-3__4__5__6-7__8__9-10__11__12-13__14-15,-0.159624699043,"[2, 6, 9, 12, 14]"
2,0__1__2-3__4__5__6-7__8__9-10__11-12__13__14-15,-0.151721826052,"[2, 6, 9, 11, 14]"
3,0__1__2-3__4__5__6-7__8-9__10__11__12-13__14-15,-0.136598626795,"[2, 6, 8, 12, 14]"
4,0__1__2-3__4-5__6-7__8__9-10__11__12__13__14-15,-0.13536334853,"[2, 4, 6, 9, 14]"
5,0__1__2__3-4__5__6-7__8__9-10__11__12-13__14-15,-0.135031581502,"[3, 6, 9, 12, 14]"
6,0-1__2-3__4__5__6-7__8__9-10__11__12__13__14-15,-0.134663636447,"[0, 2, 6, 9, 14]"
7,0__1__2-3__4__5-6__7__8__9-10__11__12-13__14-15,-0.129330354127,"[2, 5, 9, 12, 14]"
8,0__1__2-3__4__5__6-7__8__9-10__11-12__13-14__15,-0.128789954166,"[2, 6, 9, 11, 13]"
9,0__1__2-3__4__5__6-7__8-9__10__11-12__13__14-15,-0.128695753804,"[2, 6, 8, 11, 14]"
10,0__1__2-3__4__5-6__7-8__9-10__11__12__13__14-15,-0.128527720214,"[2, 5, 7, 9, 14]"
11,0__1__2__3-4__5__6-7__8__9-10__11-12__13__14-15,-0.127128708511,"[3, 6, 9, 11, 14]"
12,0__1__2-3__4__5-6__7__8__9-10__11-12__13__14-15,-0.121427481136,"[2, 5, 9, 11, 14]"
13,0__1__2-3__4-5__6-7__8__9-10__11__12__13-14__15,-0.112431476643,"[2, 4, 6, 9, 13]"
14,0__1__2-3__4-5__6-7__8-9__10__11__12__13__14-15,-0.112337276282,"[2, 4, 6, 8, 14]"
15,0__1__2__3-4__5__6-7__8-9__10__11__12-13__14-15,-0.112005509254,"[3, 6, 8, 12, 14]"
16,0-1__2-3__4__5__6-7__8__9-10__11__12__13-14__15,-0.111731764561,"[0, 2, 6, 9, 13]"
17,0-1__2-3__4__5__6-7__8-9__10__11__12__13__14-15,-0.111637564199,"[0, 2, 6, 8, 14]"
18,0-1__2__3-4__5__6-7__8__9-10__11__12__13__14-15,-0.110070518906,"[0, 3, 6, 9, 14]"
19,0__1-2__3-4__5__6-7__8__9-10__11__12__13__14-15,-0.107702023934,"[1, 3, 6, 9, 14]"
20,0__1__2__3__4-5__6-7__8__9-10__11__12-13__14-15,-0.106711015124,"[4, 6, 9, 12, 14]"
21,0__1__2-3__4__5-6__7__8-9__10__11__12-13__14-15,-0.106304281879,"[2, 5, 8, 12, 14]"
22,0-1__2__3__4__5__6-7__8__9-10__11__12-13__14-15,-0.106011303042,"[0, 6, 9, 12, 14]"
23,0__1__2-3__4__5__6-7__8-9__10__11-12__13-14__15,-0.105763881917,"[2, 6, 8, 11, 13]"
24,0__1__2-3__4__5-6__7-8__9-10__11__12__13-14__15,-0.105595848328,"[2, 5, 7, 9, 13]"
25,0__1__2-3__4-5__6-7__8__9__10__11__12-13__14-15,-0.1052941514,"[2, 4, 6, 12, 14]"
26,0__1__2__3-4__5-6__7__8__9-10__11__12-13__14-15,-0.104737236587,"[3, 5, 9, 12, 14]"
27,0-1__2-3__4__5__6-7__8__9__10__11__12-13__14-15,-0.104594439317,"[0, 2, 6, 12, 14]"
28,0-1__2-3__4__5-6__7__8__9-10__11__12__13__14-15,-0.104369291531,"[0, 2, 5, 9, 14]"
29,0__1__2__3-4__5__6-7__8__9-10__11-12__13-14__15,-0.104196836625,"[3, 6, 9, 11, 13]"
30,0__1__2__3-4__5__6-7__8-9__10__11-12__13__14-15,-0.104102636263,"[3, 6, 8, 11, 14]"
31,0__1__2__3-4__5-6__7-8__9-10__11__12__13__14-15,-0.103934602674,"[3, 5, 7, 9, 14]"
32,0__1-2__3__4__5__6-7__8__9-10__11__12-13__14-15,-0.10364280807,"[1, 6, 9, 12, 14]"
33,0__1__2-3__4__5__6-7__8-9__10-11__12__13__14-15,-0.101496909152,"[2, 6, 8, 10, 14]"
34,0__1__2__3__4__5-6__7-8__9-10__11__12-13__14-15,-0.099875386809,"[5, 7, 9, 12, 14]"
35,0__1__2__3__4-5__6-7__8__9-10__11-12__13__14-15,-0.098808142133,"[4, 6, 9, 11, 14]"
36,0__1__2-3__4__5-6__7__8__9-10__11-12__13-14__15,-0.09849560925,"[2, 5, 9, 11, 13]"
37,0__1__2-3__4__5-6__7-8__9__10__11__12-13__14-15,-0.098458523085,"[2, 5, 7, 12, 14]"
38,0__1__2-3__4__5-6__7__8-9__10__11-12__13__14-15,-0.098401408888,"[2, 5, 8, 11, 14]"
39,0-1__2__3__4__5__6-7__8__9-10__11-12__13__14-15,-0.09810843005,"[0, 6, 9, 11, 14]"
40,0__1__2-3__4-5__6-7__8__9__10__11-12__13__14-15,-0.097391278409,"[2, 4, 6, 11, 14]"
41,0__1__2__3-4__5-6__7__8__9-10__11-12__13__14-15,-0.096834363595,"[3, 5, 9, 11, 14]"
