k,partition_id,roles,predicted_rank,predicted_score,actual_nll,actual_delta_nll,merged_boundaries
3,0__1__2__3__4-5__6__7-8__9__10__11__12__13__14-15,['uniform_transfer'],159,0.015522574769,4.647394255808721,0.4004135234381563,"[4, 7, 14]"
3,0__1__2__3__4-5__6__7__8-9__10__11-12__13__14__15,['uniform_transfer'],250,0.083947976386,4.684399736708327,0.4374190043377624,"[4, 8, 11]"
3,0__1__2__3__4-5__6__7__8-9__10__11__12__13__14-15,"['target_middle', 'uniform_transfer']",145,0.007676815974,4.63913281805238,0.3921520856818148,"[4, 8, 14]"
3,0__1__2__3__4-5__6__7__8__9-10__11__12__13-14__15,['target_middle'],144,0.007582615612,4.642150196511724,0.3951694641411594,"[4, 9, 13]"
3,0__1__2__3__4__5-6__7-8__9__10__11__12__13-14__15,['uniform_transfer'],38,-0.086092236302,4.596961351433807,0.34998061906324196,"[5, 7, 13]"
3,0__1__2__3__4__5-6__7__8__9-10__11__12__13__14-15,['target_top'],8,-0.139895939231,4.563969577628963,0.31698884525839777,"[5, 9, 14]"
3,0__1__2__3__4__5__6-7__8-9__10__11__12__13__14-15,['target_top'],4,-0.147164211898,4.542026684780624,0.29504595241005926,"[6, 8, 14]"
3,0__1__2__3__4__5__6-7__8__9-10__11__12__13-14__15,['target_top'],3,-0.14725841226,4.56715361463709,0.32017288226652507,"[6, 9, 13]"
3,0__1__2__3__4__5__6-7__8__9-10__11__12__13__14-15,['target_top'],1,-0.170190284146,4.542053055786551,0.29507232341598577,"[6, 9, 14]"
3,0__1__2__3__4__5__6-7__8__9__10__11-12__13__14-15,['target_top'],10,-0.132218214025,4.564115340175983,0.3171346078054178,"[6, 11, 14]"
3,0__1__2__3__4__5__6-7__8__9__10__11__12-13__14-15,['target_top'],7,-0.140121087017,4.567005632443395,0.3200249000728306,"[6, 12, 14]"
3,0__1__2__3__4__5__6__7-8__9-10__11__12-13__14__15,['uniform_transfer'],180,0.029560314546,4.640240656199227,0.39325992382866204,"[7, 9, 12]"
3,0__1__2__3__4__5__6__7-8__9-10__11__12__13-14__15,['uniform_transfer'],113,-0.015876100988,4.6157840316712795,0.36880329930071465,"[7, 9, 13]"
