contrast,split,delta_nll,ci95_low,ci95_high
lq4-minus-m4,discovery,0.05230760434505921,0.049355550576001404,0.05520147966453805
lq4-minus-m4,confirmation,0.04860061074981292,0.046087244525551796,0.05112502365373075
lq8-minus-m8,discovery,0.05806104784953359,0.054672573518473655,0.06157179968431592
lq8-minus-m8,confirmation,0.054052664737197276,0.05150412835646421,0.056698916864115746
blq4-minus-b,discovery,0.03723252670273158,0.034403021330945194,0.04012815066380426
blq4-minus-b,confirmation,0.03250137498767991,0.0299516215454787,0.03510752669535577
blq8-minus-b,discovery,0.05977126510262121,0.05677102447953075,0.06261718138121068
blq8-minus-b,confirmation,0.05914929512076128,0.05585873188683763,0.06261606139596551
h4-interaction,discovery,0.015075077642327628,0.011459396011196077,0.01866151813883334
h4-interaction,confirmation,0.016099235762133013,0.012838673824444414,0.019316607585642485
h8-interaction,discovery,-0.0017102172530876203,-0.005435499362647533,0.0021108338725753127
h8-interaction,confirmation,-0.005096630383564005,-0.008954649837687612,-0.001362398045603189
lq4-minus-c4,discovery,-0.14504472997298112,-0.1517759076319635,-0.1385578733170405
lq4-minus-c4,confirmation,-0.13331499174310046,-0.13988586190389468,-0.1271050273673609
lq8-minus-c8,discovery,-0.24377068792736534,-0.2533284485340118,-0.23451990151079372
lq8-minus-c8,confirmation,-0.2320906773340674,-0.2422236028010957,-0.22234346821205692
