split,step_t,step_u,step_gap,spearman,pearson,top_three_overlap,top_three_jaccard,median_side_agreement,selected_at_t,selected_future_delta_nll,future_best_delta_nll,future_regret,seed
discovery,1000,1500,500,0.4678571428571427,0.3282940158292283,0,0.0,0.7333333333333333,remove-10,0.03770043260307698,0.031020025587035427,0.006680407016041556,42
discovery,1000,2000,1000,-0.18214285714285713,-0.15535295330786264,0,0.0,0.4666666666666667,remove-10,0.06300068554174398,0.047802280004655806,0.015198405537088178,42
discovery,1000,3000,2000,-0.7357142857142855,-0.7950940882795637,0,0.0,0.3333333333333333,remove-10,0.10160786525245324,0.0631526768032753,0.038455188449177946,42
discovery,1500,2000,500,0.43214285714285705,0.48616250027203506,1,0.2,0.7333333333333333,remove-06,0.053277506972804645,0.047802280004655806,0.005475226968148839,42
discovery,1500,3000,1500,-0.09999999999999999,-0.1378051794085055,1,0.2,0.4666666666666667,remove-06,0.07393789897333303,0.0631526768032753,0.010785222170057729,42
discovery,2000,3000,1000,0.38214285714285706,0.28800826247115613,2,0.5,0.6,remove-09,0.0740560571702229,0.0631526768032753,0.010903380366947601,42
confirmation,1000,1500,500,0.5499999999999999,0.4491321644931674,1,0.2,0.8666666666666667,remove-10,0.041868945836787574,0.03305391412326664,0.008815031713520938,42
confirmation,1000,2000,1000,-0.15357142857142855,-0.14814898231102286,0,0.0,0.4666666666666667,remove-10,0.06681048625375574,0.05270061464953013,0.01410987160422561,42
confirmation,1000,3000,2000,-0.7142857142857142,-0.7867963001240786,0,0.0,0.3333333333333333,remove-10,0.1053476105221085,0.0644220317680233,0.0409255787540852,42
confirmation,1500,2000,500,0.30357142857142855,0.42125508880003765,0,0.0,0.6,remove-06,0.056824254849789035,0.05270061464953013,0.0041236402002589045,42
confirmation,1500,3000,1500,-0.23571428571428568,-0.18272053672063657,0,0.0,0.3333333333333333,remove-06,0.0753659824472015,0.0644220317680233,0.010943950679178194,42
confirmation,2000,3000,1000,0.30357142857142855,0.2579264868040611,1,0.2,0.4666666666666667,remove-09,0.07595830509040358,0.0644220317680233,0.011536273322380275,42
