split,boundary_index,offset,candidate_id,delta_nll,nll,first_difference_from_previous,second_difference_centered
discovery,1,-40,boundary-01-offset--040,0.048573213355399325,4.257848272109195,,
discovery,1,-30,boundary-01-offset--030,0.03065146635471372,4.239926525108509,-0.017921747000685606,-0.000581160085759258
discovery,1,-20,boundary-01-offset--020,0.012148559268268855,4.221423618022064,-0.018502907086444864,0.00963476885798542
discovery,1,-10,boundary-01-offset--010,0.0032804210398094114,4.212555479793605,-0.008868138228459443,0.005587717188650032
discovery,1,0,native-h8,0.0,4.2092750587537955,-0.0032804210398094114,0.00510997529836299
discovery,1,10,boundary-01-offset-+010,0.0018295542585535784,4.211104613012349,0.0018295542585535784,0.002368394230817472
discovery,1,20,boundary-01-offset-+020,0.006027502747924629,4.21530256150172,0.004197948489371051,0.00809282338281303
discovery,1,30,boundary-01-offset-+030,0.01831827462010871,4.227593333373904,0.01229077187218408,0.016075812942936807
discovery,1,40,boundary-01-offset-+040,0.0466848594352296,4.255959918189025,0.028366584815120888,
confirmation,1,-40,boundary-01-offset--040,0.04966451368956548,4.199015430924014,,
confirmation,1,-30,boundary-01-offset--030,0.031110897791350567,4.180461815025799,-0.018553615898214915,-0.0002044447472826505
confirmation,1,-20,boundary-01-offset--020,0.012352837145853002,4.1617037543803015,-0.018758060645497565,0.009720765483926641
confirmation,1,-10,boundary-01-offset--010,0.0033155419842820777,4.152666459218731,-0.009037295161570924,0.005721753177288846
confirmation,1,0,native-h8,0.0,4.1493509172344485,-0.0033155419842820777,0.005055634506986095
confirmation,1,10,boundary-01-offset-+010,0.0017400925227040176,4.1510910097571525,0.0017400925227040176,0.0023612631148024477
confirmation,1,20,boundary-01-offset-+020,0.005841448160210483,4.155192365394659,0.004101355637506465,0.008084388072889581
confirmation,1,30,boundary-01-offset-+030,0.01802719187060653,4.167378109105055,0.012185743710396046,0.01622262052310397
confirmation,1,40,boundary-01-offset-+040,0.046435556104106546,4.195786473338555,0.028408364233500016,
discovery,2,-40,boundary-02-offset--040,0.06790009784791717,4.277175156601713,,
discovery,2,-30,boundary-02-offset--030,0.030115962378091332,4.239391021131887,-0.03778413546982584,0.013557992023455867
discovery,2,-20,boundary-02-offset--020,0.005889818931721358,4.215164877685517,-0.024226143446369974,0.019869314960021534
discovery,2,-10,boundary-02-offset--010,0.001532990445372917,4.210808049199168,-0.004356828486348441,0.0028238380409755237
discovery,2,0,native-h8,0.0,4.2092750587537955,-0.001532990445372917,0.00907703392200343
discovery,2,10,boundary-02-offset-+010,0.007544043476630513,4.216819102230426,0.007544043476630513,0.004387475178738498
discovery,2,20,boundary-02-offset-+020,0.019475562131999524,4.228750620885795,0.011931518655369011,0.01015321763263266
discovery,2,30,boundary-02-offset-+030,0.041560298420001196,4.250835357173797,0.022084736288001672,0.0059128366956962
discovery,2,40,boundary-02-offset-+040,0.06955787140369907,4.2788329301574946,0.02799757298369787,
confirmation,2,-40,boundary-02-offset--040,0.06984112246411822,4.219192039698567,,
confirmation,2,-30,boundary-02-offset--030,0.030580302021254724,4.179931219255703,-0.0392608204428635,0.014510049847912931
confirmation,2,-20,boundary-02-offset--020,0.0058295314263041575,4.155180448660753,-0.024750770594950566,0.020411386051718772
confirmation,2,-10,boundary-02-offset--010,0.001490146883072363,4.150841064117521,-0.004339384543231795,0.0028492376601594316
confirmation,2,0,native-h8,0.0,4.1493509172344485,-0.001490146883072363,0.009164367836125287
confirmation,2,10,boundary-02-offset-+010,0.007674220953052924,4.157025138187501,0.007674220953052924,0.004508244094028946
confirmation,2,20,boundary-02-offset-+020,0.019856686000134793,4.169207603234583,0.01218246504708187,0.011122451383229759
confirmation,2,30,boundary-02-offset-+030,0.04316160243044642,4.192512519664895,0.02330491643031163,0.005204210066958481
confirmation,2,40,boundary-02-offset-+040,0.07167072892771653,4.221021646162165,0.02850912649727011,
