boundary_index,split_spearman,discovery_quadratic_loocv_r2,discovery_normalized_roughness,discovery_best_offset,confirmation_quadratic_loocv_r2,confirmation_normalized_roughness,confirmation_best_offset
1,1.0,0.9205881136764406,0.11503700913610389,0,0.925282148206798,0.11520807820525945,0
2,1.0,0.9228709649886747,0.1304961428332354,0,0.9192470802296314,0.12786765215183085,0
3,1.0,0.9764469482474684,0.09839809938507103,0,0.976201717797402,0.09385469869014255,0
4,1.0,0.9625792887628986,0.10942915534634828,0,0.9637824996937716,0.11042026288211866,0
5,1.0,0.9214969026938399,0.1081546826230971,0,0.9220835653825764,0.11085311636820555,0
6,1.0,0.9703037451149472,0.09989030516117131,0,0.9746002485883373,0.10787590460973137,0
7,1.0,0.9581454378099159,0.16844006952233875,0,0.9548871686131435,0.16557742793480015,0
