split,step_t,step_u,step_gap,spearman,pearson,top_three_overlap,top_three_jaccard,median_side_agreement,selected_at_t,selected_future_delta_nll,future_best_delta_nll,future_regret,seed
discovery,1000,1500,500,0.6178571428571428,0.6073353350797099,2,0.5,0.6,remove-04,0.025012467031022112,0.023298126045443013,0.0017143409855790992,43
discovery,1000,2000,1000,0.44999999999999996,0.35804493552641603,0,0.0,0.7333333333333333,remove-04,0.030577897326337755,0.025316125137015533,0.0052617721893222225,43
discovery,1000,3000,2000,0.36428571428571427,0.3921121218687564,1,0.2,0.4666666666666667,remove-04,0.05430742862287463,0.04383099417066472,0.010476434452209915,43
discovery,1500,2000,500,0.6,0.471124591782312,1,0.2,0.6,remove-03,0.025316125137015533,0.025316125137015533,0.0,43
discovery,1500,3000,1500,0.05357142857142857,0.37038477881287646,0,0.0,0.4666666666666667,remove-03,0.05307349944277817,0.04383099417066472,0.009242505272113455,43
discovery,2000,3000,1000,-0.12142857142857141,-0.026301672709855537,1,0.2,0.4666666666666667,remove-03,0.05307349944277817,0.04383099417066472,0.009242505272113455,43
confirmation,1000,1500,500,0.5678571428571427,0.6558410626380188,2,0.5,0.4666666666666667,remove-04,0.024802442403366598,0.024146999664902857,0.0006554427384637407,43
confirmation,1000,2000,1000,0.30357142857142855,0.3423428223220206,1,0.2,0.6,remove-04,0.03066761216343572,0.02614903380094802,0.004518578362487702,43
confirmation,1000,3000,2000,0.34642857142857136,0.3419145057572635,2,0.5,0.6,remove-04,0.05576516596103298,0.04561553882363922,0.010149627137393757,43
confirmation,1500,2000,500,0.35357142857142854,0.36294492174856874,2,0.5,0.6,remove-03,0.02614903380094802,0.02614903380094802,0.0,43
confirmation,1500,3000,1500,0.15357142857142855,0.3695545242622904,1,0.2,0.6,remove-03,0.05382839092877356,0.04561553882363922,0.008212852105134338,43
confirmation,2000,3000,1000,-0.13214285714285715,-0.00765586767150696,0,0.0,0.4666666666666667,remove-03,0.05382839092877356,0.04561553882363922,0.008212852105134338,43
