split,step,candidate_id,boundary,delta_nll
discovery,1000,remove-00,0,0.010538275523852114
discovery,1000,remove-01,1,0.01097228962887975
discovery,1000,remove-02,2,0.010723152701340055
discovery,1000,remove-03,3,0.009844487247113065
discovery,1000,remove-04,4,0.008357111426509078
discovery,1000,remove-05,5,0.011135402895721569
discovery,1000,remove-06,6,0.013525820664063382
discovery,1000,remove-07,7,0.009981934742261167
discovery,1000,remove-08,8,0.008465072859300982
discovery,1000,remove-09,9,0.01179015997684374
discovery,1000,remove-10,10,0.009051469297586046
discovery,1000,remove-11,11,0.009616752523830208
discovery,1000,remove-12,12,0.013595376429552886
discovery,1000,remove-13,13,0.013672163526100789
discovery,1000,remove-14,14,0.011907376618445653
discovery,1500,remove-00,0,0.028774750430796026
discovery,1500,remove-01,1,0.026310586509816325
discovery,1500,remove-02,2,0.025524010290031818
discovery,1500,remove-03,3,0.023298126045443013
discovery,1500,remove-04,4,0.025012467031022112
discovery,1500,remove-05,5,0.026167340991783306
discovery,1500,remove-06,6,0.025655610820065178
discovery,1500,remove-07,7,0.02805687744946095
discovery,1500,remove-08,8,0.026589510610958378
discovery,1500,remove-09,9,0.025951436304742614
discovery,1500,remove-10,10,0.025048039642364017
discovery,1500,remove-11,11,0.02549402035576165
discovery,1500,remove-12,12,0.03071128727753436
discovery,1500,remove-13,13,0.03469261512495336
discovery,1500,remove-14,14,0.0322181668099768
discovery,2000,remove-00,0,0.03432138784190464
discovery,2000,remove-01,1,0.03134761131637109
discovery,2000,remove-02,2,0.030457302272494324
discovery,2000,remove-03,3,0.025316125137015533
discovery,2000,remove-04,4,0.030577897326337755
discovery,2000,remove-05,5,0.03638965806187322
discovery,2000,remove-06,6,0.035501104878773226
discovery,2000,remove-07,7,0.038194794808664945
discovery,2000,remove-08,8,0.03416934670590965
discovery,2000,remove-09,9,0.03628235525166623
discovery,2000,remove-10,10,0.031270732860994244
discovery,2000,remove-11,11,0.02533626742843076
discovery,2000,remove-12,12,0.03077859496324553
discovery,2000,remove-13,13,0.03591247457912594
