split,step_t,step_u,selected_at_t,selected_future_delta_nll,future_best_delta_nll,future_regret
discovery,1000,1500,remove-04,0.025012467031022112,0.023298126045443013,0.0017143409855790992
discovery,1000,2000,remove-04,0.030577897326337755,0.025316125137015533,0.0052617721893222225
discovery,1000,3000,remove-04,0.05430742862287463,0.04383099417066472,0.010476434452209915
discovery,1500,2000,remove-03,0.025316125137015533,0.025316125137015533,0.0
discovery,1500,3000,remove-03,0.05307349944277817,0.04383099417066472,0.009242505272113455
discovery,2000,3000,remove-03,0.05307349944277817,0.04383099417066472,0.009242505272113455
confirmation,1000,1500,remove-04,0.024802442403366598,0.024146999664902857,0.0006554427384637407
confirmation,1000,2000,remove-04,0.03066761216343572,0.02614903380094802,0.004518578362487702
confirmation,1000,3000,remove-04,0.05576516596103298,0.04561553882363922,0.010149627137393757
confirmation,1500,2000,remove-03,0.02614903380094802,0.02614903380094802,0.0
confirmation,1500,3000,remove-03,0.05382839092877356,0.04561553882363922,0.008212852105134338
confirmation,2000,3000,remove-03,0.05382839092877356,0.04561553882363922,0.008212852105134338
