candidate_id,boundary,discovery_delta_nll,confirmation_delta_nll
remove-00,0,0.028774750430796026,0.03017483615222627
remove-01,1,0.026310586509816325,0.02764065687490902
remove-02,2,0.025524010290031818,0.027466598260903474
remove-03,3,0.023298126045443013,0.024146999664902857
remove-04,4,0.025012467031022112,0.024802442403366598
remove-05,5,0.026167340991783306,0.025823699414205592
remove-06,6,0.025655610820065178,0.02699769160847687
remove-07,7,0.02805687744946095,0.0299925631675082
remove-08,8,0.026589510610958378,0.027648505810302204
remove-09,9,0.025951436304742614,0.025623174706511875
remove-10,10,0.025048039642364017,0.025085025518870374
remove-11,11,0.02549402035576165,0.026707932163660075
remove-12,12,0.03071128727753436,0.03321819687635408
remove-13,13,0.03469261512495336,0.035203523533318126
remove-14,14,0.0322181668099768,0.03176508061697003
