candidate_id,boundary,discovery_delta_nll,confirmation_delta_nll
remove-00,0,0.02214544562883347,0.024334454932636973
remove-01,1,0.025036254819420733,0.02648305286992958
remove-02,2,0.022616992831114402,0.02432938778039162
remove-03,3,0.018318722091929196,0.01897809465842748
remove-04,4,0.020939887094358234,0.021644858903782094
remove-05,5,0.02317699355930003,0.02426503387481027
remove-06,6,0.02038117424600472,0.021637092004890057
remove-07,7,0.020335561951817738,0.021644144813336652
remove-08,8,0.021097047121527268,0.022261100780229803
remove-09,9,0.02281620122587036,0.02261269943222377
remove-10,10,0.025175729921254053,0.0252236961036596
remove-11,11,0.019275869442221705,0.019465525711969356
remove-12,12,0.02351925916103159,0.024808755484960088
remove-13,13,0.025380009197187192,0.026248218726552253
remove-14,14,0.022958913040534767,0.023492277542517037
