split,step_t,step_u,selected_at_t,selected_future_delta_nll,future_best_delta_nll,future_regret
discovery,1000,1500,remove-02,0.022616992831114402,0.018318722091929196,0.004298270739185206
discovery,1000,2000,remove-02,0.034179327191961484,0.029085767583763023,0.005093559608198461
discovery,1000,3000,remove-02,0.058535037968281856,0.04364673366527949,0.014888304303002364
discovery,1500,2000,remove-03,0.033140198343077465,0.029085767583763023,0.004054430759314442
discovery,1500,3000,remove-03,0.04980482407212783,0.04364673366527949,0.006158090406848338
discovery,2000,3000,remove-05,0.053155211992161,0.04364673366527949,0.009508478326881509
confirmation,1000,1500,remove-02,0.02432938778039162,0.01897809465842748,0.00535129312196414
confirmation,1000,2000,remove-02,0.036070777990018676,0.030467356404950685,0.005603421585067991
confirmation,1000,3000,remove-02,0.05968966115837748,0.04341714100171146,0.016272520156666026
confirmation,1500,2000,remove-03,0.03381216537684395,0.030467356404950685,0.003344808971893265
confirmation,1500,3000,remove-03,0.051192995390234586,0.04341714100171146,0.007775854388523129
confirmation,2000,3000,remove-05,0.054478078527067986,0.04341714100171146,0.011060937525356529
