split,step,candidate_id,boundary,delta_nll
discovery,1000,remove-00,0,0.009583665711671685
discovery,1000,remove-01,1,0.00963642543595089
discovery,1000,remove-02,2,0.006543877304240553
discovery,1000,remove-03,3,0.008971259973848511
discovery,1000,remove-04,4,0.010283906904948736
discovery,1000,remove-05,5,0.007316402908876363
discovery,1000,remove-06,6,0.008490560574498929
discovery,1000,remove-07,7,0.009182972409274903
discovery,1000,remove-08,8,0.006985431775552442
discovery,1000,remove-09,9,0.012101843210259311
discovery,1000,remove-10,10,0.027170723833995325
discovery,1000,remove-11,11,0.01495604640927084
discovery,1000,remove-12,12,0.012716759917556608
discovery,1000,remove-13,13,0.013621852311686666
discovery,1000,remove-14,14,0.012994462793523454
discovery,1500,remove-00,0,0.02214544562883347
discovery,1500,remove-01,1,0.025036254819420733
discovery,1500,remove-02,2,0.022616992831114402
discovery,1500,remove-03,3,0.018318722091929196
discovery,1500,remove-04,4,0.020939887094358234
discovery,1500,remove-05,5,0.02317699355930003
discovery,1500,remove-06,6,0.02038117424600472
discovery,1500,remove-07,7,0.020335561951817738
discovery,1500,remove-08,8,0.021097047121527268
discovery,1500,remove-09,9,0.02281620122587036
discovery,1500,remove-10,10,0.025175729921254053
discovery,1500,remove-11,11,0.019275869442221705
discovery,1500,remove-12,12,0.02351925916103159
discovery,1500,remove-13,13,0.025380009197187192
discovery,1500,remove-14,14,0.022958913040534767
discovery,2000,remove-00,0,0.03195086532324254
discovery,2000,remove-01,1,0.03216170472250468
discovery,2000,remove-02,2,0.034179327191961484
discovery,2000,remove-03,3,0.033140198343077465
discovery,2000,remove-04,4,0.03595293115893661
discovery,2000,remove-05,5,0.029085767583763023
discovery,2000,remove-06,6,0.03076333990311486
discovery,2000,remove-07,7,0.031920670763837755
discovery,2000,remove-08,8,0.03294495240451045
discovery,2000,remove-09,9,0.033064408269678935
discovery,2000,remove-10,10,0.035857532963608385
discovery,2000,remove-11,11,0.03222118957534459
discovery,2000,remove-12,12,0.03360518775261312
discovery,2000,remove-13,13,0.037011883009447466
discovery,2000,remove-14,14,0.035124150888661276
discovery,3000,remove-00,0,0.05252968088039989
discovery,3000,remove-01,1,0.05357798616440945
discovery,3000,remove-02,2,0.058535037968281856
discovery,3000,remove-03,3,0.04980482407212783
discovery,3000,remove-04,4,0.05220409851969077
discovery,3000,remove-05,5,0.053155211992161
discovery,3000,remove-06,6,0.049695988204821795
discovery,3000,remove-07,7,0.047970660387711916
discovery,3000,remove-08,8,0.05013923514506846
discovery,3000,remove-09,9,0.05052622648744354
discovery,3000,remove-10,10,0.05640031725080785
discovery,3000,remove-11,11,0.04364673366527949
discovery,3000,remove-12,12,0.044812991588812245
discovery,3000,remove-13,13,0.0534584384742951
discovery,3000,remove-14,14,0.051619624345765835
confirmation,1000,remove-00,0,0.009271562041192283
confirmation,1000,remove-01,1,0.009332637283459455
confirmation,1000,remove-02,2,0.0070169654876020005
confirmation,1000,remove-03,3,0.009067280434676306
confirmation,1000,remove-04,4,0.01003513541272838
confirmation,1000,remove-05,5,0.007148274228719664
confirmation,1000,remove-06,6,0.008124408833791286
confirmation,1000,remove-07,7,0.00947612844487633
confirmation,1000,remove-08,8,0.007674147772765316
confirmation,1000,remove-09,9,0.011437510698304898
confirmation,1000,remove-10,10,0.02530941119524943
confirmation,1000,remove-11,11,0.014317039403980658
confirmation,1000,remove-12,12,0.01247489720379047
confirmation,1000,remove-13,13,0.012486964959435909
confirmation,1000,remove-14,14,0.01133636342232247
confirmation,1500,remove-00,0,0.024334454932636973
confirmation,1500,remove-01,1,0.02648305286992958
confirmation,1500,remove-02,2,0.02432938778039162
confirmation,1500,remove-03,3,0.01897809465842748
confirmation,1500,remove-04,4,0.021644858903782094
confirmation,1500,remove-05,5,0.02426503387481027
confirmation,1500,remove-06,6,0.021637092004890057
confirmation,1500,remove-07,7,0.021644144813336652
confirmation,1500,remove-08,8,0.022261100780229803
confirmation,1500,remove-09,9,0.02261269943222377
confirmation,1500,remove-10,10,0.0252236961036596
confirmation,1500,remove-11,11,0.019465525711969356
confirmation,1500,remove-12,12,0.024808755484960088
confirmation,1500,remove-13,13,0.026248218726552253
confirmation,1500,remove-14,14,0.023492277542517037
confirmation,2000,remove-00,0,0.03420953480262856
confirmation,2000,remove-01,1,0.034314743351493426
confirmation,2000,remove-02,2,0.036070777990018676
confirmation,2000,remove-03,3,0.03381216537684395
confirmation,2000,remove-04,4,0.03787522162160606
confirmation,2000,remove-05,5,0.030467356404950685
confirmation,2000,remove-06,6,0.031711053521985555
confirmation,2000,remove-07,7,0.03318339662001879
confirmation,2000,remove-08,8,0.03386619480241215
confirmation,2000,remove-09,9,0.03255543238023684
confirmation,2000,remove-10,10,0.035480204681963556
confirmation,2000,remove-11,11,0.033206193444782706
confirmation,2000,remove-12,12,0.03575383929330034
confirmation,2000,remove-13,13,0.037171397390952876
confirmation,2000,remove-14,14,0.03481757629185722
confirmation,3000,remove-00,0,0.05471953991454548
confirmation,3000,remove-01,1,0.054623090626557236
confirmation,3000,remove-02,2,0.05968966115837748
confirmation,3000,remove-03,3,0.051192995390234586
confirmation,3000,remove-04,4,0.05433943497703453
confirmation,3000,remove-05,5,0.054478078527067986
confirmation,3000,remove-06,6,0.05085564312231039
confirmation,3000,remove-07,7,0.04918258980222401
confirmation,3000,remove-08,8,0.05230246308029329
confirmation,3000,remove-09,9,0.050888274538667844
confirmation,3000,remove-10,10,0.055692476960570225
confirmation,3000,remove-11,11,0.04341714100171146
confirmation,3000,remove-12,12,0.045976300859497776
confirmation,3000,remove-13,13,0.0543434790036077
confirmation,3000,remove-14,14,0.05357215504725499
